name,link,imgUn,imgDeux,descript
Lemon + Sage Body Butter,https://myemollient.com/collections/lemon-sage,https://myemollient.com/cdn/shop/files/Lemon_Sage_Body_Butter_for_Dry_Skin_and_Ec_1296x.jpg?v=1728704501,https://myemollient.com/cdn/shop/files/lemon_and_sage_body_butter_1296x.jpg?v=1728519251,"Infused with essential oils of lemon and sage, this butter not only pampers your skin but also envelops you in a rich, uplifting fragrance, providing a comforting experience with every use."
Lavender Body Butter,https://myemollient.com/collections/lavender-body-butter,https://myemollient.com/cdn/shop/files/handmade-lavender-body-butter_2700x.jpg?v=1747099010,https://myemollient.com/cdn/shop/products/my-emollient-dry-skin-solution_2700x.jpg?v=1747099010,"Experience the best body butter for dry, sensitive, and eczema-prone skin."
Almond + Vanilla Body Butter,https://myemollient.com/collections/almond-vanilla-body-butter,https://myemollient.com/cdn/shop/files/almond-vanilla-body-butter-orgnanic-moisturizer_1296x.jpg?v=1747415007,https://myemollient.com/cdn/shop/files/almond-vanilla-body-butter-jar-mango-butter-almonds_2700x.jpg?v=1755053852,"Experience the ultimate in moisture with our handcrafted Almond + Vanilla Whipped Body Butter—a rich, non-greasy formula made with 7 skin-loving ingredients."
Body Butter for Sensitive Skin,https://myemollient.com/collections/body-butter-for-sensitive-skin,https://myemollient.com/cdn/shop/files/body_butter_for_sensitive_skin_and_eczema_1296x.jpg?v=1729980179,https://myemollient.com/cdn/shop/files/sensitive-skin-body-butter-with-kokum-and-aloe._2700x.jpg?v=1755053048,This lightly scented body butter is crafted for those with sensitive skin who need a little extra care—including those managing dry patches or prone to eczema.
Unscented Body Butter,https://myemollient.com/collections/unscented,https://myemollient.com/cdn/shop/files/Unscented_Body_Butter_for_Winter_Dry_Skin_1296x.jpg?v=1737604260,https://myemollient.com/cdn/shop/files/best-body-butter-dry-skin-jar-closed_1296x.jpg?v=1747158292,No Fragrance.  No Fluff. Just powerful hydration for even the most sensitive skin.
Peppermint Body Butter,https://myemollient.com/collections/peppermint-body-butter,https://myemollient.com/cdn/shop/files/Peppermint_body_butter_for_eczema_dry_skin_menopause_and_hot_flashes_1296x.jpg?v=1750775986,https://myemollient.com/cdn/shop/files/peppermint-butter-post-workout-recovery_1296x.jpg?v=1755051005,"Crafted for dry, menopausal, and sensitive skin (including skin that's easily irritated or eczema-prone), the peppermint-infused formula delivers a crisp, cooling sensation while locking in long-lasting moisture."
Gift Sets,https://myemollient.com/collections/body-butter-gift-set,https://myemollient.com/cdn/shop/files/Body_Butter_Sample_Trio_1296x.jpg?v=1728516912,https://myemollient.com/cdn/shop/files/Body_Butter_Trio_Gift_Set_1296x.jpg?v=1728517041,
Anti-Bacterial Body Butter,https://myemollient.com/collections/antibacterial-body-butter,https://myemollient.com/cdn/shop/products/antibacterial-body-butter-small_1296x.webp?v=1681356427,https://myemollient.com/cdn/shop/products/emol75_anti_3000x_014b4421-0788-4dec-a2f2-9310192e7a0c_1296x.jpg?v=1681356427,
Jet Lag Set,,,,unreleased
Eczema,,,,unreleased
